Spider-Man (Peter Parker)
Kostya Yesenofsky (Earth-616)
Mandarin (Heroes Reborn) (Earth-616)
Nathan Garrett (Heroes Reborn) (Earth-616)
Pastor Kale (Earth-616)
Rigby Fallon (Earth-616)
Robin Vega (Earth-616)
Sabu (Earth-616)
Scorpio (Ecliptic) (Earth-616)
Sergei Yesenofsky (Earth-616)
Simon Williams (Heroes Reborn) (Earth-616)
Sybil (Earth-616)
Taurus (Ecliptic) (Earth-616)
Vessila (Earth-616)
Vivian Raintree (Earth-616)
Addison Falk (Earth-616)
Argos (Deviant) (Earth-616)
Basil Kilgrew (Earth-616)
Benedicto de Vica Severtes (Earth-616)
Cristal Lemieux (Earth-616)
Daniel Dash (Earth-616)
Dargil (Earth-616)
Dexam (Earth-616)
Exalt (Earth-616)
Gwyneth (Earth-616)
Harpagus (Earth-616)
Hazram Chaliz (Earth-616)
Helliana (Earth-616)
Isobel Aguirre (Earth-616)
Lee Broder (Earth-616)
Malik Shippinsky (Earth-616)
Marcus Arlington III (Earth-616)
Mary Purcell (Earth-616)
Rapture (Sister Joy) (Earth-616)
Roberta (Earth-982)
Saboteur (Earth-616)
Saint Cyrus Leviticus (Earth-616)
Smokescreen (Earth-616)
Spikey (Earth-616)
Zona (Deviant) (Earth-616)
Alasdhair Kinross (Earth-616)
Armageddon Man (Earth-616)
Betsy Schneider (Earth-616)
Coil (Earth-616)
Ejulp (Earth-616)
Emma Tolliver (Earth-616)
Gyre (Twisted Sisters) (Earth-616)
Harley Traynor (Earth-616)
Helix (Negative Zone) (Earth-616)
Marion Sofen (Earth-616)
Mendicus (Earth-616)
Nightwind (Rising Sons) (Earth-616)
Reno (France) (Earth-616)
Ringlet (Earth-616)
Sekmeht Conoway (Earth-616)
Shirow Ishihara (Earth-616)
Spoilsport (Earth-616)
Thomas Philip Moreau (Earth-616)
Totem (Mannite) (Earth-616)
Amazon (S.H.E.) (Earth-616)
Arvak (Earth-616)
Autumn MacRae (Earth-616)
Avios (Earth-616)
Barracuda (Heavy Mettle) (Earth-616)
Beldame (Earth-616)
Belize Marceaux (Earth-616)
Bloody Bess (Earth-616)
Cache (Earth-616)
Delphos (Earth-616)
Elysia (Earth-616)
Fletcher Traynor (Earth-616)
Francis Smith (Earth-616)
Jack Farley (Earth-616)
Jacob Shaw (Earth-616)
Jaeger (Earth-616)
Joan Eaton (Earth-616)
Kenny Kramer (Earth-616)
Liberty Girl (Beverly) (Earth-616)
Lightning Fist (Earth-616)
Lucy Ryker (Earth-616)
Mzungu (Earth-616)
Ogre (Wicked Brigade) (Earth-616)
Peliali (Earth-616)
Pentigaar (Earth-616)
Rand (Earth-616)
Randall Shire (Earth-616)
Razor Wire (Earth-616)
Rouler Marceaux (Earth-616)
Sanguine (Earth-616)
Sayuri Kyota (Earth-616)
Sea Dogs
Shakati (Earth-616)
Stronghold (Heavy Mettle) (Earth-616)
Sun Tao (Earth-616)
Ten-Thirtifor (Earth-616)
Weisse Kreuz (Earth-616)
William Knoblach (Earth-616)
Yoshida (Gauntlet member) (Earth-616)
Zuhn (Earth-616)
A (Earth-616)
Bryson Bale (Earth-616)
Burning Puddle (Earth-616)
Burstarr (Earth-616)
Callie (James puppy) (Earth-616)
Catherine Saccharine (Earth-616)
Double Helix (Earth-616)
Dulpus (Earth-616)
Gina Anderson (Earth-616)
Harmony (Mutant) (Earth-616)
Hope (London Morlock) (Earth-616)
Katie Sawyer (Earth-616)
Kenneth Tennyson (Earth-616)
Kofi Annan (Earth-616)
Malcolm Reeves (Earth-616)
Mickey Tork (Earth-616)
Misses Hopkins (Earth-616)
Molly Stanwick (Earth-616)
Paco Perez (Earth-616)
Smoke (Earth-616)
Succubus (Earth-616)
T (Earth-616)
Tom Morgan (Earth-616)
Aaron Rosenberg (Earth-616)
Cookie Malone (Earth-616)
Danny Zucco (Earth-616)
Dogma (Earth-616)
Driver (Earth-616)
Eric Bondi (Earth-616)
Gabriel (Angel) (Earth-616)
Gary Walsh (Earth-616)
Gremlin (Synthozoid) (Earth-616)
Gro (Earth-616)
Henry Dobbs (Earth-616)
Jack Mead (Earth-616)
Jeffrey Holloway (Earth-616)
Jesse Metuchen (Earth-616)
Jun Ho Kim (Earth-616)
Lubyev (Earth-616)
Martin Hanover (Earth-616)
Mr. Ingersol (Earth-616)
Mr. Rosenthal (Earth-616)
Neosaurus (Earth-616)
Orbit (O-Force) (Earth-616)
Overkill (O-Force) (Earth-616)
Papahanau-Moku (Earth-616)
Paul Swanson (Earth-616)
Pauline Shimizu (Earth-616)
Petra (Black Widow) (Earth-616)
Pyotr Vasilievich Starkovsky (Earth-616)
Robinson Knight (Earth-616)
Rot (Earth-616)
Simon Benes (Earth-616)
Skullbuster (female Reaver) (Earth-616)
Sondra Burgos (Earth-616)
Staak (Earth-616)
Stuart Welles (Earth-616)
Supreme Pontiff (Earth-616)
Wright (Earth-616)
Zippo (Earth-616)
Bad Guy (Earth-616)
Bailey Mathius (Earth-616)
Brad Bentley (Earth-616)
Damon Larsen (Earth-616)
Daniel Axum (Earth-616)
Edward Brecker (Earth-616)
Erik Lonnroth (Earth-616)
Evangelina Rivera (Earth-616)
Homer Tully (Earth-616)
Jen Baker (Earth-616)
Larry Pitts (Earth-616)
Lucy Braddock (Earth-616)
Magnus (Earth-616)
Marylin (Mutant) (Earth-616)
Mister Code (Earth-616)
Prudence Leighton (Earth-616)
Razorhead (Earth-616)
Senschi (Earth-616)
Shiva Nataraja (Earth-616)
Uber-Machine (Earth-616)
Zebra Daddy (Earth-616)
Appraiser (Earth-616)
Carol Campbell (Earth-616)
Carrie (Earth-616)
Clarence Ward (Earth-616)
Crimson Dynamo IX (Earth-616)
Daniel Jermain (Earth-616)
Franz (DermaFree) (Earth-616)
Fukuko (Earth-616)
Hans (DermaFree) (Earth-616)
Hans (Sinister) (Earth-616)
Hobgoblin V (Earth-616)
Ichiro (Earth-616)
Jean-Claude Lauziere (Earth-616)
Joey Chambers (Earth-616)
Kalyx (Earth-616)
Lefty (Earth-616)
Leo Zelinsky (Earth-616)
Lonnie Shakespeare (Earth-616)
Luc (Earth-616)
Michiyo Watanabe (Earth-616)
Mikhail Smerdyakov (Earth-616)
Mitya Smerdyakov (Earth-616)
Moloka Dar (Earth-616)
Noah van Helsing (Earth-616)
Ralf (DermaFree guinea pig) (Earth-616)
Raymond Keyes (Earth-616)
Rita (Waitress) (Earth-616)
Rojas (Earth-616)
Sasha (Earth-616)
Stringer (Earth-616)
Sylvette Lauziere (Earth-616)
Tarquin Berdeaux (Earth-616)
Terri Kidder (Earth-616)
Tess Black (Earth-616)
Zed (Earth-616)
Zelda (District X) (Earth-616)
Zius (Earth-616)
Abu-Jamal Rodriguez (Earth-616)
Antoinelle Arceneaux (Earth-616)
Book (Annika) (Earth-616)
Daniel Shawcross (Earth-616)
Doug Taggert (Earth-616)
Edward Vance (Earth-616)
Father Lantom (Earth-616)
Gene Lorrene (Earth-616)
General (Earth-616)
Halphas (Earth-616)
Hyun Rahman (Earth-616)
Jean Bradley (Earth-616)
Jill Kincaid (Earth-616)
Jono Baraka (Earth-616)
Laline Ortega (Earth-616)
Lars Branco (Earth-616)
Martha Gomes (Earth-616)
Martin Sutter (Earth-616)
Njeri Damphousse (Earth-616)
The Entity (Earth-616)
Vegas (Earth-616)
Zombie (Howling Commandos) (Earth-616)
Aftaab Lemar (Earth-616)
Andreas Vadas (Earth-616)
Andrei Gorlovich (Earth-616)
Apocalypse Beast (Earth-616)
Ara Tanzerian (Earth-616)
Av-Rom (Earth-616)
Brigand (Earth-616)
Damian Tryp Jr. (Earth-616)
Denebo Aruc III (Earth-616)
Dennis Kellard (Earth-616)
Extirpia (Earth-616)
First Fallen (Earth-616)
Gloria Santiago (Earth-616)
Grace Darling (Earth-616)
Greexix (Earth-616)
Gretchen Zeller (Earth-616)
Hawal (Earth-616)
Hybalea (Earth-616)
Jack Abrams (Earth-616)
Jack Vaughn (Earth-616)
James Madrox (The X-Factor) (Earth-616)
Jasper Angevine (Earth-616)
Joaquim Robichaux (Earth-616)
Josephine Tyler (Earth-616)
Kabar Brashir (Earth-616)
Lucia Page (Earth-616)
Margaret Slade (Earth-616)
Mari (Rigellian) (Earth-616)
Matador (Juan) (Earth-616)
Minnie Floyd (Earth-616)
Mr. Munroe (Earth-616)
One-Eyed Jacquie (Earth-616)
Philadelphia Filly (Earth-616)
Philip Gavin (Earth-616)
Provost (Earth-616)
Pusher Man (Earth-616)
Randall Nixon (Earth-616)
Tantrum (Earth-616)
Terry Maguire (Earth-616)
Vince Dio (Earth-616)
Zakim Karzai (Earth-616)
Agent Carver (Earth-616)
Avia (Inhuman) (Earth-616)
Barko (Earth-616)
Black Maria (Earth-616)
Caleb (Earth-616)
Cooper Roth (Earth-616)
Darlene (Host) (Earth-616)
Daystar (Spaceknight) (Earth-616)
Deimne (Earth-616)
Desidera (Earth-616)
Difference Engine (Earth-616)
Draconis (Earth-616)
George Pelham (Earth-616)
Infernal Man (Earth-616)
Joe (National Force) (Earth-616)
Jonathan Raven (Earth-616)
Mister Prast (Earth-616)
Mortimer Grimsdale (Earth-616)
Namor McKenzie (Onslaught Reborn) (Earth-616)
Nancy Ridley (Earth-616)
Pamela Pierce (Earth-616)
Robert Bruce Banner (Onslaught Reborn) (Earth-616)
Rockwell Davis (Earth-616)
Seamus MacGillicuddy (Earth-616)
Shadu the Shady (Earth-616)
Starktech 9 (Earth-616)
Susan Catrini (Earth-616)
The Storyteller (Gavin) (Earth-616)
Vera Vidal (Earth-616)
Witchbreaker (Earth-616)
Zoran (Earth-616)
2-D (Earth-616)
Abyss (Earth-616)
Akihira (Earth-616)
Atsuko (Earth-616)
Augeas (Earth-616)
Blue Eagle (Earth-616)
Carmine Karnelli (Earth-616)
"Carol Danvers (Modern, Skrull) (Earth-616)"
Castlemere (Earth-616)
Chilly McHotpants (Earth-616)
Chrell (Earth-616)
Chris Chernin (Earth-616)
Clayton Wojciehowicz (Earth-616)
Conserve And Protect (Earth-616)
Emilee Freeman (Earth-616)
Erich Eisenhardt (Earth-616)
Fountainhead (Earth-616)
Fracture (Earth-616)
Henry Pym (Giant-Man Skrull) (Earth-616)
Hope (Liberteens) (Earth-616)
Jash (Earth-616)
Massdriver (Earth-616)
Metzger (Earth-616)
Monk Theppie (Earth-616)
Ms. America (Earth-616)
Nasim Rahimov (Earth-616)
Natsumi (Earth-616)
Orpheus (Earth-616)
Ouranos (Earth-616)
Paul Brokeridge (Earth-616)
Ralph Roberts (Skrull) (Earth-616)
Rock of Buddha (Earth-616)
Ruth Eisenhardt (Earth-616)
Saboteur (Fourth) (Earth-616)
Sean Boyle (Earth-616)
Sinister Six (Skrull) (Earth-616)
Wanda Maximoff (Skrull) (Earth-616)
Aban (Earth-616)
Akpaxa (Earth-616)
Albakor (Earth-616)
Alexander Erde (Earth-616)
Arkady Markov (Earth-616)
Asylum (Initiative) (Earth-616)
Axis Annie (Earth-616)
Baron Skullfire (Earth-616)
Cameron McGill (Earth-616)
Clown (Legion Personality) (Earth-616)
Davis Harmon (Earth-616)
Drexel (Legion Personality) (Earth-616)
Eramis (Earth-616)
Fraulein Fatale (Earth-616)
Frederick (Mutant) (Earth-616)
Hodinn (Praetorian) (Earth-616)
Jenni Pate (Earth-616)
Jonathan N. York (Earth-616)
Jorge Valdez (Earth-616)
Lara Wilkinson (Earth-616)
Lydia Stumpmeyer (Earth-616)
Madame Mauser (Earth-616)
Marinette Bwa Chech (Earth-616)
Maximilian Ritter (Earth-616)
Morass (Earth-616)
Oboroth (Earth-616)
Pannix (Earth-616)
Penny Panzer (Earth-616)
Pythagoras Dupree (Earth-616)
Salac Tuur (Earth-616)
Thomas Jefferson (Earth-616)
Travis Nevins (Earth-616)
Wendigo (American) (Earth-616)
Yana Li (Earth-616)
Archon (Earth-616)
Bakuto (The Hand) (Earth-616)
Cherry Blossom (Earth-616)
Damiella (Earth-616)
Fahd Alireza (Earth-616)
Galileo Galilei (Earth-616)
Gyre (Raptor) (Earth-616)
Inhuman Torch (Earth-616)
Makoto (The Hand) (Earth-616)
Makro (Earth-616)
Monster (Dream Realm) (Earth-616)
Mustafa Kazun (Earth-616)
Neutron (Second) (Earth-616)
Number Ninety-Six (Earth-616)
Olvido (Earth-616)
Phorcys (Earth-616)
Reina Alvarez (Earth-616)
Ryan Ralston (Earth-616)
Skinner (FBI) (Earth-616)
Steven Rogers (Dr Bong Clone) (Earth-616)
Superior (Bastards of Evil) (Earth-616)
Takashi (The Hand) (Earth-616)
Thane (Ano-Athox) (Earth-616)
Vaipala Rani (Earth-616)
William Nguyen (Earth-616)
Yuki (Earth-616)
Yutaka (The Hand) (Earth-616)
Adam Mann (Earth-616)
Agent Anesthesia (Earth-616)
American Panther (Earth-616)
Angrir (Earth-616)
Bonegrinder (Earth-616)
Burnt Orange (Earth-616)
Commander Kak (Earth-616)
Cu Sith (Earth-616)
Darkstrider (Earth-616)
Driver Reese (Earth-616)
Endgame (Legion Personality) (Earth-616)
Funtzel (Earth-616)
Greithoth (Earth-616)
Grigori (Earth-616)
Gun Metal (Earth-616)
Haleena (Earth-616)
John Russel (Earth-616)
Jonathan Standish (Earth-616)
Josh Glenn (Earth-616)
Karen Anderson (Earth-616)
Kasha (Earth-616)
Kingsley Rice (Zombie Clone) (Earth-616)
Leonard Walls (Earth-616)
Mahmoud Ahmadinejad (Earth-616)
Mr. Ichiki (Earth-616)
Nia Jones (Earth-616)
Obb (Earth-616)
Okami (Earth-616)
Paris Green (Earth-616)
Robert Christansen (Earth-616)
Rocky Flint (Earth-616)
Rupert Kingsley (Earth-616)
Skirn (Earth-616)
Sophia Sanduval (Earth-616)
Susan in Sunshine (Legion Personality) (Earth-616)
Terry Roland (Earth-616)
Baylee Ann (Earth-616)
Bloodbath (Earth-616)
Captain Nemo (Earth-616)
Deconsecrator (Earth-616)
Fifty-One (Earth-616)
Flower (Assassin) (Earth-616)
Hunter (Earth-616)
Jason Wyngarde (Clone) (Earth-616)
Jefferson Chambers (Earth-616)
Johnny Ito (Earth-616)
Krakoa (Sinister London) (Earth-616)
Machete (unnamed female) (Earth-616)
Menace (Covenant) (Earth-616)
Meteor (Earth-616)
Minister Marvel (Earth-616)
Pietro Maximoff (Clone) (Earth-616)
Red Feather III (Earth-616)
Scout (Mutant) (Earth-616)
Shadowshift (Earth-616)
Skunk Ape (Earth-616)
Star (Earth-616)
Terrance Mitchell (Earth-616)
Virusplague (Earth-616)
Wanda Maximoff (Clone) (Earth-616)
Wyatt Crowley (Earth-616)
X-666 (Earth-616)
Alexandra Draguno (Earth-616)
Bride (Earth-616)
Galahad (Wilheim) (Earth-616)
Hitman (Hobgoblin) (Earth-616)
Ikari (Earth-616)
Justicar (Earth-616)
Tumbler (Hobgoblin) (Earth-616)
Unicorn (Hobgoblin) (Earth-616)
Validator (Earth-616)
Yun Guang Han (Earth-616)
A. G. Bell (Earth-616)
Anderson (Earth-616)
Baby Face Johnny (Earth-616)
Bonham (Earth-616)
Chief Mate (S.S. Recovery) (Earth-616)
Comte de Saint Germain (Earth-616)
Daedikaron (Earth-616)
Digger (Outcasts) (Earth-616)
Dwight D. Eisenhower (Earth-616)
Ev Carley (Earth-616)
Felipe Picaro (Earth-616)
Harbin Zemo (Earth-616)
Igor Starsky (Earth-616)
Jimmy Everett (Earth-616)
Johnny Kitano (Earth-616)
Kite (Contingency) (Earth-616)
Madam Swabada (Earth-616)
Matthew Mitchell (Earth-616)
Michael Farrel (Earth-616)
Minxi (Earth-616)
Mrs. Canty (Earth-616)
Queen Ursula (Earth-616)
Ricketts Johnson (Earth-616)
Rod Nelson (Earth-616)
Sid (Earth-616)
Sky-Walker (Earth-616)
Sluice (Earth-616)
Titano (Earth-616)
Tros (Earth-616)
Whitie (Earth-616)
Xraven (Earth-616)
Zabyk (Earth-616)
8-Ball (Hobgoblin) (Earth-616)
Abdi (Earth-616)
Al-Thahab Al-Aswad (Earth-616)
Answer (Hobgoblin) (Earth-616)
Artaud Derrida (Earth-616)
Banshee (North Korean Mutate) (Earth-616)
Cadivan (Earth-616)
Caudle (Earth-616)
Charlotte Hastert (Earth-616)
Colossus (North Korean Mutate) (Earth-616)
Constance Molina (Earth-616)
Cyclops (North Korean Mutate) (Earth-616)
Dakota Bennett (Earth-616)
Derek Malloy (Earth-616)
Fume (Daryl) (Earth-616)
Gabriela (Earth-616)
Gibbon (Hobgoblin) (Earth-616)
Gungnir (Robot) (Earth-616)
Hollow (Inhuman) (Earth-616)
Incredulous Zed (Earth-616)
Jong (Earth-616)
Joseph Bricklemoore (Earth-616)
Josephine Bricklemoore (Earth-616)
Killer Shrike (Hobgoblin) (Earth-616)
Kinjin (Earth-616)
Krobat (Earth-616)
Lord Remaker (Earth-616)
Marcus Glove (Earth-616)
Matt Fraction (Earth-616)
Melter (Hobgoblin) (Earth-616)
MeMe (Mutant) (Earth-616)
Memento Mori (Earth-616)
Mikaru (Earth-616)
Molot Boga (Earth-616)
Mrs. Schaefer (Earth-616)
Mygdalla (Earth-616)
Natalie Long (Earth-616)
Oggmunder Dragglevadd Vinnsuvius XVII (Earth-616)
Paburo (Earth-616)
Park (Earth-616)
Queen of Nevers (Earth-616)
Reg Greenwood (Earth-616)
Ren Kimura (Earth-616)
Rico (Mutant) (Earth-616)
Sharon King (Earth-616)
Shikaru (Earth-616)
Spark (Inhuman) (Earth-616)
Storm (North Korean Mutate) (Earth-616)
Terrana (Earth-616)
Terrance Hoffman (Earth-616)
Thunderbird (North Korean Mutate) (Earth-616)
Ziro (Earth-616)
Drayson (Earth-616)
Fiorello La Guardia (Earth-616)
Harris (Earth-616)
John Rand (Earth-616)
Josef (Earth-616)
Kru (Earth-616)
Quog (Earth-616)
Red (Sardo Gang) (Earth-616)
Bradley (Hunter) (Earth-616)
Corky Grogan (Earth-616)
Doctor Manyac (Earth-616)
Ed Kivlin (Earth-616)
Enoch Mason (Earth-616)
Gor (Earth-616)
Jago (Earth-616)
Jeff Graves (Earth-616)
Jerry Alton (Earth-616)
John Edgar Hoover (Earth-616)
Josie Nottington (Earth-616)
Mantor (Earth-616)
Mills Gilligan (Earth-616)
Peter Oritz (Earth-616)
Rajah Sarput (Earth-616)
Texas Kid (Earth-616)
Tigerman (Earth-616)
Ali Hamud (Earth-616)
Bogat (Earth-616)
Bonzo (Earth-616)
Bull Dawson (Earth-616)
Chuck McArthur (Earth-616)
Craig Talbot (Earth-616)
Dan Hurley (Earth-616)
Doctor Lin (Earth-616)
Fang (WWII) (Earth-616)
Ginaldo (Earth-616)
Herr Huss (Earth-616)
J. Arthur Grover (Earth-616)
Jarna (Earth-616)
Killer Casey (Earth-616)
Manuel Perez (Earth-616)
Omar (Sando) (Earth-616)
Omir (Circus of Crime) (Earth-616)
Parrot (Earth-616)
Paul Revere (Earth-616)
Pindar (Earth-616)
Princess Eve (Earth-616)
Tommy Thumb (Earth-616)
Trapeze Trio (Earth-616)
Zandow (Earth-616)
Ambrose Meek (Earth-616)
Bruno Beitz (Earth-616)
Carl Burgos (Earth-616)
Dan Carey (Earth-616)
Edward Elmgren (Earth-616)
Erica von Kampf (Earth-616)
Gary Hale (Earth-616)
Joe Dix (Earth-616)
Killer Dawson (Earth-616)
Martin Goodman (Earth-616)
Miguel Rico (Earth-616)
Monstro the Mighty (Earth-616)
Mrs. Dix (Earth-616)
Peri Purr (Earth-616)
William Prince (Earth-616)
Ailma (Earth-616)
Alt (Earth-616)
Dianna Ferrule (Earth-616)
Frank Ferrule (Earth-616)
Gunther Strauss (Earth-616)
Josef Stalin (Earth-616)
Modebl (Earth-616)
Timothy Mulrooney (Earth-616)
Togaro (Earth-616)
Countess Kyra (Earth-616)
Lyander (Earth-616)
Antaeus (Earth-616)
Jack Williams (Earth-616)
Alfie (Earth-616)
Mister Wu (Earth-616)
Senator Mushbell (Earth-616)
Signor Korte (Earth-616)
Snipe Gooligan (Earth-616)
Red Skull (1940s Impostor) (Earth-616)
Black Mike (Earth-616)
Clarence Snippe (Earth-616)
Kadmos (Earth-616)
Lash Larribee (Earth-616)
Paul Loth (Earth-616)
Perry Palette (Earth-616)
Whip Savage (Earth-616)
Milo van Sett (Earth-616)
Count Varron (Earth-616)
Great Video (Earth-616)
Mary Gregory (Earth-616)
Son of Satan (Lokison) (Earth-616)
Thoth (Earth-616)
Lou Dade (Earth-616)
Nokomis (Earth-616)
Starr Ryder (Earth-616)
Ben Maijus (Earth-616)
Flash Finnigan (Earth-616)
Frank Werner (Earth-616)
J. Norton (Earth-616)
Nick Allen (Earth-616)
Pearl of Pyongyang (Earth-616)
Robert Putnam (Earth-616)
Verna Maijus (Earth-616)
White Chief (Earth-616)
Butcher (Earth-616)
Myra Tangier (Earth-616)
Ape (Mobster) (Earth-616)
Betty Corey (Earth-616)
Colonel Corey (Earth-616)
Dara (Hypnotist) (Earth-616)
Gary Akres (Earth-616)
Ksa (Alien) (Earth-616)
Muktong Mollie (Earth-616)
Professor Kreitzer (Earth-616)
Red Mary (Earth-616)
Running Wolf (Earth-616)
Snake Lady of Sinyong (Earth-616)
Whip Sandler (Earth-616)
Sir Galahad (Earth-616)
Sir Gawain (Earth-616)
Spider (Outlaw) (Earth-616)
Wild One (Horse) (Earth-616)
Cactus (American Frontier) (Earth-616)
Dan Hawk (Earth-616)
Anne Norton (Earth-616)
Pan (Olympian God) (Earth-616)
Sydney Burr (Earth-616)
Cathy Jones (Earth-616)
Dangerous Doll (Earth-616)
Darius Zorn (Earth-616)
Genie (Earth-616)
Man in Black (Earth-616)
Raaka (Earth-616)
Simon Drudd (Earth-616)
Sporr (Amoeba Mutate) (Earth-616)
Anne Bronson (Earth-616)
Boris Petrovsky (Earth-616)
Creature From the Black Bog (Earth-616)
Dan Harper (Earth-616)
Davey Jones (Earth-616)
Howard Avery (Earth-616)
Hugo Barge (Earth-616)
Hunk Larken (Earth-616)
Ivan Petrovsky (Earth-616)
Korilla (Earth-616)
Korumbu (Earth-616)
Max Garr (Earth-616)
Mechano (Earth-616)
Robert Bronson (Earth-616)
Robot X (Earth-616)
Roc (Monster) (Earth-616)
Salty Gruner (Earth-616)
Sandman (Alien) (Earth-616)
Sserpo (Earth-616)
Steve Bronson (Earth-616)
Zamu (Earth-616)
Zankor (Earth-616)
Adam Able (Earth-616)
Bill Gordon (Silver Age) (Earth-616)
Cack Clugg (Earth-616)
Don Russell (Earth-616)
Edward Harrison (Earth-616)
Gorgi Gruff (Earth-616)
Kraggoom (Earth-616)
Luther Benedict (Earth-616)
Luther Gorr (Earth-616)
Monster At the Window (Earth-616)
Monstrollo (Earth-616)
Oog (Earth-616)
Paul Marshall (Earth-616)
Robert Carter (Earth-616)
Torkon II (Earth-616)
Torrak (Earth-616)
X-13 (Earth-616)
Actor (Spy) (Earth-616)
Audumla (Magic cow) (Earth-616)
Charleton Carter (Earth-616)
Elias Weams (Earth-616)
Heath Benson (Earth-616)
Liso Trago (Earth-616)
Mayer (Earth-616)
Neri (Asgardian) (Earth-616)
Supremacy (Earth-616)
Ted (Teen Brigade) (Earth-616)
Ugarth (Xartan) (Earth-616)
Willie (Teen Brigade) (Earth-616)
Agnar (Earth-616)
Arkin (Earth-616)
Brimer (Earth-616)
Flint (Inspector) (Earth-616)
Hati (Earth-616)
Honir (Earth-616)
Igor (Red Agent) (Earth-616)
Mary Storm (Earth-616)
Nedra (Earth-616)
Porky (Earth-616)
Richard Flint (Earth-616)
Sam (Bruiser) (Earth-616)
Sindri (Earth-616)
Svenzaldo Zambooba (Earth-616)
Tommy (Earth-616)
Vanna (Earth-616)
Abu Ben Hakim (Earth-616)
Carl Kaxton (Earth-616)
Charlie (Pilot) (Earth-616)
Commissar (Android) (Earth-616)
Deacon (Criminal) (Earth-616)
Dean Corliss (Earth-616)
Doctor Van Eyck (Earth-616)
Erica Wolfmann (Earth-616)
Kanga Khan (Earth-616)
"Marko, the Manhunter (Earth-616)"
Masked Maverick (Mason) (Earth-616)
Milton Monroe (Earth-616)
Sentinel 17 (Earth-616)
Sentinel 3 (Earth-616)
Sentinel 3-D (Earth-616)
Sentinel 3-R (Earth-616)
Sentinel 4 (Earth-616)
Sentinel 5 (Earth-616)
Sentinel 9 (Earth-616)
Sentinel O (Earth-616)
Sentinel T (Earth-616)
Uller (Earth-616)
Artificial being (Earth-616)
Crusher (Agent of Pluto) (Earth-616)
Dave (Guard) (Earth-616)
Feepers (Earth-616)
Franz Anton (Earth-616)
Horst Lederer (Earth-616)
Hulk-Killer (Earth-616)
John Thomas (Earth-616)
Karl Stragg (Earth-616)
Konrad Zaxon (Earth-616)
Lucy Barton (Earth-616)
Robot Alpha (Earth-616)
Robot Beta (Earth-616)
Robot Delta (Earth-616)
Robot Epsilon (Earth-616)
Robot Gamma (Earth-616)
Slagg (Earth-616)
Stallion of Doom (Earth-616)
Wilder Berne (Earth-616)
Cobalt-Robot (Earth-616)
Dragorr (Earth-616)
Harry (Stark Enterprises) (Earth-616)
"It, the Silent One (Earth-616)"
Ivan (Earth-616)
Kuro Chin (Earth-616)
Makoth (Earth-616)
Ogur (Earth-616)
Planner (Earth-616)
Servo-Robot (Earth-616)
Cyberex (Earth-616)
Destructon (Earth-616)
Drexel Cord (Earth-616)
Indestructible One (Earth-616)
Irma Kruhl (Earth-616)
Judy Harmon (Earth-616)
Oldar (Earth-616)
Romnar (Earth-616)
Saru-San (Earth-616)
Tartaro (Earth-616)
A3 (Earth-616)
Al B. Harper (Earth-616)
Borgo (Earth-616)
Crime-Wave (Hollis) (Earth-616)
Ecce (Earth-616)
Fara (Earth-616)
Harris (NYPD) (Earth-616)
Hermp (Earth-616)
Kenneth Ward (Earth-616)
Llyna (Earth-616)
Ludwig von Frankenstein (Earth-616)
Mandroid (Kree) (Earth-616)
Number 7 (Earth-616)
Robert Bruce Banner (Mandarin Robot) (Earth-616)
Super-Patriot (Earth-616)
Yarro Gort (Earth-616)
Buck Ralston (Earth-616)
Charybdis (Earth-616)
Diamond Head (Earth-616)
Doctor Kronton (Earth-616)
Draxon (Earth-616)
Gimlet (Earth-616)
Jack Van Nyborg (Earth-616)
Kaliban (Earth-616)
Miklos Vryolak (Earth-616)
MK-5 (Earth-616)
Mogol (Earth-616)
Nigel Carruthers (Earth-616)
Polyphemus (Earth-616)
Ross Archer (Earth-616)
Saburo Yoshida (Earth-616)
Scylla (Earth-616)
Starr (Earth-616)
Su (Earth-616)
Trull (Earth-616)
Val-Larr (Earth-616)
Vince Sterling (Earth-616)
Zoga (Robot) (Earth-616)
Asmodeus (Inhuman) (Earth-616)
Aunt Serr (Earth-616)
Condor (Daredevil Foe) (Earth-616)
David Arnstead (Earth-616)
Demitrius (Earth-616)
Erik Gorbo (Earth-616)
Farley London (Earth-616)
Guardian of Infinity (Earth-616)
Iranda (Earth-616)
Karl Serr (Earth-616)
Lucile Serr (Earth-616)
Neron-Alak (Earth-616)
Proteus (Atlantean Sage) (Earth-616)
Raama (Earth-616)
Ralph Cosgrove (Earth-616)
Ramrod (alien) (Earth-616)
Samson Washington (Earth-616)
Shara-Lee (Earth-616)
Slasher (Earth-616)
Spymaster (Original) (Earth-616)
Tuvia (Earth-616)
White Dragon (Iron Man) (Earth-616)
Barton Blaze (Earth-616)
Bert Tacker (Earth-616)
Bulwar (Asgard) (Earth-616)
Calizuma (Earth-616)
Chiron (Inhuman) (Earth-616)
Emory Simpson (Earth-616)
Fialan (Earth-616)
Flaidermaus (Earth-616)
Gregson Grant (Earth-616)
H. Warren Craddock (Earth-616)
Jacob Bolt (Earth-616)
Jarr (Earth-616)
Jefferson Bolt (Earth-616)
Jules Carter (Earth-616)
Khan (Asgard) (Earth-616)
Monck (Earth-616)
Mrs. Baker (Earth-616)
Pinyon (Earth-616)
Robert Bruce Banner (Counter-Earth) (Earth-616)
